,"M Street Beach, South Boston: Bacterial Water Quality 2019",,,
,,,,
,Bacteria monitoring is conducted by the Massachusetts Dept. of Conservation and Recreation (DCR) during the swimming season.,,,
,"Bacteria samples are collected at one location along the beach, and test results are available 24 hours later.",,,
,High bacteria triggers a swimming advisory and repeated sampling until bacteria meet limits.,,,
,,,,
,"Displayed are Enterococcus bacteria counts, with high counts in red.  The maximum daily limit is 104 counts/100 mL.",,,
,,,,
,A swimming advisory is declared by the DCR for the following day if: ,,,
,      ▪  counts exceed 104 counts/100 mL limit;,,,
,      ▪  OR if the 5-day running geometric mean exceeds 35 counts/100 mL (geometric mean of the previous 5 days' samples).,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,
,All results are in counts/100 mL and testing is performed by DCR.,,,
,,,,
,"Weekly sampling by DCR began May 23, 2019.  ",,,
,,,,
,, Daily Rainfall (in.),,M Street
,,,,
,2019-05-23 00:00:00,0.12,,7
,2019-05-30 00:00:00,0.23,,5
,2019-06-06 00:00:00,0.01,,19
,2019-06-13 00:00:00,0.63,,<2
,2019-06-20 00:00:00,0.37,,4
,2019-06-27 00:00:00,0,,<2
,2019-07-02 00:00:00,0,,<2
,2019-07-11 00:00:00,0.02,,<2
,2019-07-18 00:00:00,0.04,,21
,2019-07-25 00:00:00,0,,2
,2019-08-01 00:00:00,0,,10
,2019-08-08 00:00:00,0.38,,2
,2019-08-15 00:00:00,0,,5
,2019-08-22 00:00:00,Trace,,2
,2019-08-29 00:00:00,0.3,,5
