,"Malibu Beach, Dorchester: Bacterial Water Quality 2020",,,
,,,,
,Bacteria monitoring is conducted by the Massachusetts Dept. of Conservation and Recreation (DCR) during the swimming season.,,,
,"Bacteria samples are collected at one location along the beach, and test results are available 24 hours later.",,,
,High bacteria triggers a swimming advisory and repeated sampling until bacteria meet limits.,,,
,,,,
,"Displayed are Enterococcus bacteria counts, with high counts in red.  The maximum daily limit is 104 counts/100 mL.",,,
,,,,
,A swimming advisory is declared by the DCR for the following day if: ,,,
,      ▪  Enterococcus counts exceed 104 counts/100 mL limit;,,,
,      ▪  OR if daily rainfall exceeds 0.25 inches;,,,
,      ▪  OR if the 5-day running geometric mean exceeds 35 counts/100 mL (geometric mean of the previous 5 days' samples).,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge.",,,
,All results are in counts/100 mL and testing is performed by DCR.,,,
,,,,
,Swimming advisories will be issued due to either high Enterococcus counts or heavy rainfall.,,,
,"Weekly sampling by DCR began May 20, 2020.",,,
,,,,
,, Daily Rainfall (in.),,Bathhouse
,,,,
,2020-05-20 00:00:00,0,,5
,2020-05-28 00:00:00,Trace,,10
,2020-06-04 00:00:00,0,,8
,2020-06-11 00:00:00,0.74,,22
,2020-06-18 00:00:00,0,,<2
,2020-06-19 00:00:00,0,,<2
,2020-06-20 00:00:00,0,,<10 
,2020-06-21 00:00:00,0,,<10
,2020-06-22 00:00:00,0,,<10 
,2020-06-23 00:00:00,0,,<10 
,2020-06-24 00:00:00,0.01,,30
,2020-06-25 00:00:00,0,,2
,2020-06-26 00:00:00,0,,15
,2020-06-27 00:00:00,0.02,,<10
,2020-06-28 00:00:00,1.19,,<10
,2020-06-29 00:00:00,0.19,,537
,2020-06-30 00:00:00,0.18,,404
,2020-07-01 00:00:00,0.07,,31
,2020-07-02 00:00:00,0,,15
,2020-07-03 00:00:00,Trace ,,49
,2020-07-04 00:00:00,Trace,,63
,2020-07-05 00:00:00,0.11,,31
,2020-07-06 00:00:00,0,,231
,2020-07-07 00:00:00,0,,20
,2020-07-08 00:00:00,Trace,,10
,2020-07-09 00:00:00,0,,4
,2020-07-10 00:00:00,Trace ,,2
,2020-07-11 00:00:00,0.01,,<10 
,2020-07-12 00:00:00,0,,10
,2020-07-13 00:00:00,0.07,,<10 
,2020-07-14 00:00:00,0.62,,<10
,2020-07-15 00:00:00,0.07,,31
,2020-07-16 00:00:00,0,,5
,2020-07-17 00:00:00,0.11,,2
,2020-07-18 00:00:00,0,,<10
,2020-07-19 00:00:00,0,,<10
,2020-07-20 00:00:00,0,,<10
,2020-07-21 00:00:00,0,,<10
,2020-07-22 00:00:00,0.11,,41
,2020-07-23 00:00:00,0.57,,1270
,2020-07-24 00:00:00,0,,531
,2020-07-25 00:00:00,0,,20
,2020-07-26 00:00:00,0,,<10
,2020-07-27 00:00:00,0,,20
,2020-07-28 00:00:00,0,,31
,2020-07-29 00:00:00,0,,< 10 
,2020-07-30 00:00:00,0,,<2
,2020-07-31 00:00:00,0,,6
,2020-08-01 00:00:00,0,,<10 
,2020-08-02 00:00:00,0,,10
,2020-08-03 00:00:00,0,,10
,2020-08-04 00:00:00,0.17,,<10  
,2020-08-05 00:00:00,0,,98
,2020-08-06 00:00:00,0,,15
,2020-08-07 00:00:00,0,,57
,2020-08-08 00:00:00,0,,10
,2020-08-09 00:00:00,0,,<10
,2020-08-10 00:00:00,0,,10
,2020-08-11 00:00:00,0,,10
,2020-08-12 00:00:00,0,,<10
,2020-08-13 00:00:00,0,,6
,2020-08-14 00:00:00,0,,5
,2020-08-15 00:00:00,Trace,,20
,2020-08-16 00:00:00,0.16,,20
,2020-08-17 00:00:00,0.08,,41
,2020-08-18 00:00:00,0.16,,173
,2020-08-19 00:00:00,0.06,,20
,2020-08-20 00:00:00,0,,127
,2020-08-21 00:00:00,0,,4
,2020-08-22 00:00:00,Trace,,31
,2020-08-23 00:00:00,1.33,,74
,2020-08-24 00:00:00,0,,187
,2020-08-25 00:00:00,0,,74
,2020-08-26 00:00:00,0,,10
,2020-08-27 00:00:00,0,,20
,2020-08-28 00:00:00,0,,24
,2020-08-29 00:00:00,0.07,,20
,2020-08-30 00:00:00,0,,31
,2020-08-31 00:00:00,0,,20
